# x_i	f(x_i)
-9.697439	32.684354
-9.418794	18.900550
-8.942157	-1.952743
-8.781718	-5.533593
-7.857179	15.469990
-6.602453	24.335320
-6.075258	3.838285
-6.064105	3.458539
-5.976335	0.672429
-4.595375	10.236884
-4.517226	11.731275
-3.801052	13.985120
-3.511154	9.901144
-3.484692	9.469089
-2.894295	1.065893
-1.835923	0.654794
-1.820070	0.697627
-1.603086	1.132845
-1.539983	1.199206
-1.519161	1.214900
0.136802	0.010890
0.309938	0.064483
1.192552	1.721691
1.547752	1.687962
2.020648	-3.149593
2.422878	-10.428943
3.724213	83.707619
4.169136	126.643583
4.414283	107.606229
4.487623	92.970997
5.315839	-319.144754
6.139890	-167.739302
6.618538	703.335016
7.078847	1539.161625
7.963767	-521.724016
8.249959	-2287.979451
8.358743	-2945.181640
8.645223	-4223.093216
8.868517	-4367.990758
9.011838	-3906.177641
